Stadsdeel,koopwoningen,corporatie-woningen,particuliere huurwoningen,< 425,425-575,575-681,> 681,Gemiddeld inkomen,lage inkomens,laag - EU-grens,EU-grens - 43.785,"43.785 - 1,5x modaal","1,5 - 2 x modaal",> 2x modaal,op kamers/studentenwoning,inwonend bij ouders/familie/vrienden,zelfstandige huurwoning van particulier,zelfstandige huurwoning van woningcorporatie,koopwoning,anders/weet niet,18- 25 jaar,26- 34 jaar,35- 39 jaar,40- 49 jaar,50- 64 jaar,>= 65 jaar,lager onderwijs,lager middelbaar,hoger middelbaar,HBO/WO
F85defg,0.21,0.7,0.09,0.22,0.48,0.19,0.1,,,,,,,,,,,,,,,,,,,,,,,
F86,0.2,0.53,0.28,0.28,0.29,0.13,0.29,,,,,,,,,,,,,,,,,,,,,,,
F87,0.28,0.46,0.26,0.29,0.35,0.15,0.21,,,,,,,,,,,,,,,,,,,,,,,
F88,0.51,0.21,0.28,0.01,0.24,0.23,0.52,,,,,,,,,,,,,,,,,,,,,,,
Zuid,0.32,0.3,0.38,0.41,0.28,0.11,0.21,2887.0,0.26,0.16,0.13,0.05,0.11,0.28,0.11,0.14,0.31,0.24,0.16,0.04,0.03,0.16,0.11,0.15,0.29,0.25,0.02,0.22,0.31,0.45
K24,0.27,0.28,0.45,0.55,0.24,0.08,0.13,,,,,,,,,,,,,,,,,,,,,,,
K25,0.34,0.32,0.33,0.61,0.23,0.05,0.11,,,,,,,,,,,,,,,,,,,,,,,
K26,0.16,0.76,0.09,0.57,0.33,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,
K44,0.39,0.15,0.46,0.46,0.33,0.09,0.12,,,,,,,,,,,,,,,,,,,,,,,
K45,0.34,0.35,0.31,0.59,0.21,0.11,0.09,,,,,,,,,,,,,,,,,,,,,,,
K46,0.47,0.1,0.43,0.18,0.18,0.13,0.52,,,,,,,,,,,,,,,,,,,,,,,
K47,0.37,0.05,0.59,0.3,0.21,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,
K48,0.14,0.55,0.31,0.39,0.36,0.09,0.17,,,,,,,,,,,,,,,,,,,,,,,
K50,0.37,0.05,0.59,0.3,0.21,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,
K49,0.6,0.0,0.4,0.05,0.07,0.09,0.79,,,,,,,,,,,,,,,,,,,,,,,
K52,0.26,0.19,0.55,0.24,0.33,0.14,0.29,,,,,,,,,,,,,,,,,,,,,,,
K53,0.2,0.46,0.34,0.37,0.31,0.14,0.17,,,,,,,,,,,,,,,,,,,,,,,
K54,0.19,0.43,0.38,0.44,0.34,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,
K90,0.45,0.28,0.27,0.3,0.28,0.24,0.19,,,,,,,,,,,,,,,,,,,,,,,
K91,0.41,0.32,0.28,0.28,0.3,0.1,0.32,,,,,,,,,,,,,,,,,,,,,,,
K59,0.45,0.28,0.27,0.3,0.28,0.24,0.19,,,,,,,,,,,,,,,,,,,,,,,
Oost,0.32,0.51,0.17,0.4,0.35,0.1,0.15,2596.0,0.3,0.15,0.15,0.05,0.08,0.27,0.09,0.13,0.21,0.4,0.13,0.05,0.04,0.15,0.12,0.22,0.3,0.17,0.02,0.29,0.31,0.38
M27,0.44,0.31,0.26,0.61,0.19,0.08,0.12,,,,,,,,,,,,,,,,,,,,,,,
M28,0.24,0.6,0.15,0.48,0.35,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,
M29,0.22,0.66,0.12,0.43,0.42,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,
M30,0.24,0.64,0.12,0.55,0.33,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,
M31,0.29,0.59,0.12,0.57,0.31,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,
M32,0.19,0.71,0.1,0.48,0.38,0.09,0.05,,,,,,,,,,,,,,,,,,,,,,,
M33,0.41,0.41,0.19,0.14,0.46,0.1,0.31,,,,,,,,,,,,,,,,,,,,,,,
M34,0.41,0.41,0.19,0.14,0.46,0.1,0.31,,,,,,,,,,,,,,,,,,,,,,,
M35,0.49,0.35,0.16,0.04,0.38,0.25,0.33,,,,,,,,,,,,,,,,,,,,,,,
M51,0.49,0.35,0.16,0.04,0.38,0.25,0.33,,,,,,,,,,,,,,,,,,,,,,,
M55,0.17,0.65,0.18,0.55,0.29,0.07,0.09,,,,,,,,,,,,,,,,,,,,,,,
M56,0.5,0.18,0.32,0.19,0.34,0.22,0.25,,,,,,,,,,,,,,,,,,,,,,,
M57,0.1,0.88,0.03,0.59,0.32,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,
M58,0.44,0.0,0.56,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Noord,0.29,0.67,0.04,0.38,0.4,0.13,0.09,2146.0,0.39,0.18,0.13,0.06,0.08,0.16,0.04,0.16,0.13,0.54,0.1,0.03,0.03,0.12,0.09,0.19,0.31,0.26,0.02,0.46,0.36,0.15
N60,0.1,0.85,0.05,0.69,0.17,0.11,0.02,,,,,,,,,,,,,,,,,,,,,,,
N61,0.17,0.78,0.05,0.53,0.32,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,
N62,0.14,0.86,0.0,0.36,0.32,0.27,0.04,,,,,,,,,,,,,,,,,,,,,,,
N63,0.14,0.86,0.0,0.36,0.32,0.27,0.04,,,,,,,,,,,,,,,,,,,,,,,
N64,0.87,0.03,0.1,0.55,0.3,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,
N65,0.27,0.73,0.0,0.37,0.46,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,
N66,0.48,0.5,0.02,0.12,0.55,0.18,0.14,,,,,,,,,,,,,,,,,,,,,,,
N67,0.48,0.5,0.02,0.12,0.55,0.18,0.14,,,,,,,,,,,,,,,,,,,,,,,
N68,0.31,0.64,0.05,0.32,0.43,0.17,0.07,,,,,,,,,,,,,,,,,,,,,,,
N69,0.31,0.64,0.05,0.22,0.53,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,
N70,0.28,0.67,0.05,0.32,0.48,0.09,0.11,,,,,,,,,,,,,,,,,,,,,,,
N71,0.28,0.67,0.05,0.32,0.48,0.09,0.11,,,,,,,,,,,,,,,,,,,,,,,
N72,0.87,0.03,0.1,0.55,0.3,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,
N73,0.87,0.03,0.1,0.55,0.3,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,
Zuidoost,0.3,0.61,0.09,0.26,0.46,0.18,0.1,2014.0,0.44,0.14,0.15,0.04,0.09,0.13,0.04,0.21,0.1,0.52,0.08,0.03,0.05,0.14,0.09,0.21,0.31,0.21,0.03,0.43,0.4,0.14
T92,0.23,0.7,0.07,0.18,0.53,0.18,0.11,,,,,,,,,,,,,,,,,,,,,,,
T93,0.245,0.715,0.045,0.305,0.505,0.125,0.065,,,,,,,,,,,,,,,,,,,,,,,
T93ab,0.25,0.71,0.05,0.39,0.49,0.09,0.03,,,,,,,,,,,,,,,,,,,,,,,
T93overig,0.24,0.72,0.04,0.22,0.52,0.16,0.1,,,,,,,,,,,,,,,,,,,,,,,
T94,0.425,0.47500000000000003,0.1,0.485,0.24000000000000002,0.19,0.075,,,,,,,,,,,,,,,,,,,,,,,
T94jk,0.6,0.27,0.13,0.72,0.02,0.21,0.04,,,,,,,,,,,,,,,,,,,,,,,
T94overig,0.25,0.68,0.07,0.25,0.46,0.17,0.11,,,,,,,,,,,,,,,,,,,,,,,
T95,0.45,0.22,0.34,0.16,0.38,0.24,0.23,,,,,,,,,,,,,,,,,,,,,,,
T96,0.23,0.7,0.07,0.18,0.53,0.18,0.11,,,,,,,,,,,,,,,,,,,,,,,
T97,0.37,0.5,0.13,0.25,0.35,0.27,0.12,,,,,,,,,,,,,,,,,,,,,,,
T98,0.52,0.42,0.06,0.46,0.31,0.24,0.0,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam,0.32,0.46,0.22,0.41,0.33,0.11,0.14,2489.0,0.32,0.16,0.14,0.06,0.09,0.23,0.1,0.16,0.22,0.35,0.13,0.05,0.06,0.18,0.11,0.18,0.28,0.19,0.03,0.29,0.33,0.35
